<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.15	04:42:00	1.11978	1.11981	1.11972	1.11980	24	0	3
2025.05.15	04:43:00	1.11979	1.11982	1.11972	1.11976	38	0	2
2025.05.15	04:44:00	1.11977	1.11978	1.11965	1.11972	44	0	2
2025.05.15	04:45:00	1.11973	1.11987	1.11972	1.11984	34	0	2
2025.05.15	04:46:00	1.11985	1.11989	1.11974	1.11985	44	0	2
2025.05.15	04:47:00	1.11984	1.11986	1.11980	1.11980	20	0	3
2025.05.15	04:48:00	1.11981	1.11985	1.11972	1.11977	38	0	2
2025.05.15	04:49:00	1.11977	1.11978	1.11965	1.11967	24	0	2
2025.05.15	04:50:00	1.11966	1.11977	1.11958	1.11977	51	0	2
2025.05.15	04:51:00	1.11978	1.11987	1.11972	1.11975	43	0	2
2025.05.15	04:52:00	1.11976	1.11978	1.11969	1.11969	24	0	2
2025.05.15	04:53:00	1.11967	1.11967	1.11936	1.11944	57	0	2
2025.05.15	04:54:00	1.11940	1.11962	1.11936	1.11958	41	0	2
2025.05.15	04:55:00	1.11958	1.11961	1.11934	1.11938	56	0	2
2025.05.15	04:56:00	1.11939	1.11942	1.11924	1.11928	41	0	2
2025.05.15	04:57:00	1.11928	1.11945	1.11919	1.11944	48	0	2
2025.05.15	04:58:00	1.11945	1.11945	1.11928	1.11942	56	0	2
2025.05.15	04:59:00	1.11937	1.11939	1.11928	1.11933	53	0	2
2025.05.15	05:00:00	1.11934	1.11935	1.11926	1.11935	35	0	2
2025.05.15	05:01:00	1.11942	1.11952	1.11940	1.11952	38	0	2
2025.05.15	05:02:00	1.11952	1.11952	1.11918	1.11921	42	0	2
2025.05.15	05:03:00	1.11917	1.11921	1.11906	1.11917	30	0	2
2025.05.15	05:04:00	1.11917	1.11922	1.11895	1.11898	52	0	2
2025.05.15	05:05:00	1.11903	1.11921	1.11887	1.11921	38	0	2
2025.05.15	05:06:00	1.11922	1.11928	1.11912	1.11924	31	0	2
2025.05.15	05:07:00	1.11923	1.11947	1.11922	1.11947	31	0	2
2025.05.15	05:08:00	1.11948	1.11948	1.11934	1.11942	35	0	2
2025.05.15	05:09:00	1.11942	1.11951	1.11941	1.11950	14	0	2
2025.05.15	05:10:00	1.11951	1.11963	1.11951	1.11954	38	0	2
2025.05.15	05:11:00	1.11955	1.11956	1.11945	1.11950	35	0	2
2025.05.15	05:12:00	1.11949	1.11953	1.11936	1.11941	57	0	2
2025.05.15	05:13:00	1.11941	1.11951	1.11941	1.11945	34	0	2
2025.05.15	05:14:00	1.11943	1.11953	1.11939	1.11952	47	0	2
2025.05.15	05:15:00	1.11950	1.11960	1.11941	1.11941	32	0	2
2025.05.15	05:16:00	1.11942	1.11950	1.11926	1.11926	54	0	2
2025.05.15	05:17:00	1.11930	1.11930	1.11922	1.11926	28	0	2
2025.05.15	05:18:00	1.11927	1.11936	1.11925	1.11925	39	0	2
2025.05.15	05:19:00	1.11925	1.11944	1.11925	1.11941	30	0	2
2025.05.15	05:20:00	1.11942	1.11942	1.11929	1.11933	36	0	2
2025.05.15	05:21:00	1.11934	1.11937	1.11913	1.11925	54	0	2
2025.05.15	05:22:00	1.11925	1.11926	1.11912	1.11912	33	0	3
2025.05.15	05:23:00	1.11909	1.11917	1.11903	1.11911	33	0	2
2025.05.15	05:24:00	1.11916	1.11916	1.11897	1.11906	68	0	2
2025.05.15	05:25:00	1.11906	1.11912	1.11903	1.11904	35	0	2
2025.05.15	05:26:00	1.11903	1.11907	1.11898	1.11901	27	0	2
2025.05.15	05:27:00	1.11903	1.11913	1.11897	1.11907	26	0	2
2025.05.15	05:28:00	1.11907	1.11921	1.11906	1.11910	38	0	2
2025.05.15	05:29:00	1.11909	1.11910	1.11900	1.11901	31	0	2
2025.05.15	05:30:00	1.11903	1.11906	1.11900	1.11900	26	0	2
2025.05.15	05:31:00	1.11900	1.11900	1.11893	1.11898	34	0	2
2025.05.15	05:32:00	1.11899	1.11911	1.11897	1.11911	27	0	2
2025.05.15	05:33:00	1.11913	1.11913	1.11897	1.11906	21	0	2
2025.05.15	05:34:00	1.11906	1.11914	1.11906	1.11907	32	0	2
2025.05.15	05:35:00	1.11907	1.11916	1.11906	1.11911	28	0	2
2025.05.15	05:36:00	1.11912	1.11922	1.11911	1.11915	35	0	2
2025.05.15	05:37:00	1.11915	1.11926	1.11912	1.11926	21	0	2
2025.05.15	05:38:00	1.11927	1.11932	1.11926	1.11927	25	0	2
2025.05.15	05:39:00	1.11926	1.11931	1.11917	1.11923	28	0	2
2025.05.15	05:40:00	1.11924	1.11943	1.11923	1.11942	21	0	2
2025.05.15	05:41:00	1.11942	1.11942	1.11926	1.11927	24	0	2
2025.05.15	05:42:00	1.11927	1.11927	1.11921	1.11927	21	0	2
2025.05.15	05:43:00	1.11926	1.11932	1.11914	1.11918	24	0	2
2025.05.15	05:44:00	1.11919	1.11922	1.11911	1.11918	25	0	2
2025.05.15	05:45:00	1.11912	1.11924	1.11907	1.11921	15	0	2
2025.05.15	05:46:00	1.11922	1.11922	1.11906	1.11913	26	0	2
2025.05.15	05:47:00	1.11914	1.11914	1.11906	1.11909	29	0	2
2025.05.15	05:48:00	1.11909	1.11909	1.11900	1.11903	35	0	2
2025.05.15	05:49:00	1.11900	1.11904	1.11899	1.11901	14	0	2
2025.05.15	05:50:00	1.11903	1.11909	1.11898	1.11902	41	0	2
2025.05.15	05:51:00	1.11903	1.11918	1.11903	1.11913	22	0	2
2025.05.15	05:52:00	1.11914	1.11933	1.11913	1.11929	37	0	2
2025.05.15	05:53:00	1.11928	1.11937	1.11928	1.11936	26	0	2
2025.05.15	05:54:00	1.11937	1.11938	1.11930	1.11934	28	0	2
2025.05.15	05:55:00	1.11933	1.11945	1.11933	1.11942	31	0	2
2025.05.15	05:56:00	1.11942	1.11948	1.11940	1.11947	10	0	2
2025.05.15	05:57:00	1.11947	1.11962	1.11947	1.11948	45	0	2
2025.05.15	05:58:00	1.11952	1.11956	1.11946	1.11955	37	0	2
2025.05.15	05:59:00	1.11955	1.11956	1.11946	1.11946	31	0	2
2025.05.15	06:00:00	1.11946	1.11954	1.11932	1.11932	39	0	2
2025.05.15	06:01:00	1.11933	1.11933	1.11923	1.11929	20	0	2
2025.05.15	06:02:00	1.11930	1.11952	1.11926	1.11950	39	0	2
2025.05.15	06:03:00	1.11953	1.11967	1.11952	1.11965	35	0	2
2025.05.15	06:04:00	1.11963	1.11963	1.11953	1.11955	25	0	2
2025.05.15	06:05:00	1.11954	1.11957	1.11950	1.11956	20	0	2
2025.05.15	06:06:00	1.11956	1.11961	1.11952	1.11957	20	0	2
2025.05.15	06:07:00	1.11957	1.11963	1.11947	1.11947	18	0	2
2025.05.15	06:08:00	1.11948	1.11960	1.11924	1.11960	38	0	2
2025.05.15	06:09:00	1.11954	1.11958	1.11952	1.11955	35	0	2
2025.05.15	06:10:00	1.11955	1.11980	1.11954	1.11975	49	0	2
2025.05.15	06:11:00	1.11975	1.11979	1.11968	1.11975	37	0	2
2025.05.15	06:12:00	1.11977	1.11986	1.11969	1.11986	24	0	2
2025.05.15	06:13:00	1.11985	1.11986	1.11976	1.11978	36	0	2
2025.05.15	06:14:00	1.11977	1.11978	1.11954	1.11956	33	0	2
2025.05.15	06:15:00	1.11955	1.11966	1.11955	1.11964	30	0	2
2025.05.15	06:16:00	1.11965	1.11966	1.11961	1.11962	19	0	2
2025.05.15	06:17:00	1.11963	1.11968	1.11961	1.11962	14	0	2
2025.05.15	06:18:00	1.11962	1.11968	1.11961	1.11963	18	0	2
2025.05.15	06:19:00	1.11963	1.11966	1.11962	1.11962	14	0	2
2025.05.15	06:20:00	1.11963	1.11978	1.11962	1.11965	30	0	2
2025.05.15	06:21:00	1.11964	1.11971	1.11962	1.11967	18	0	2
