<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.16	05:40:00	0.89463	0.89508	0.89460	0.89506	153	0	1
2025.05.16	05:42:00	0.89506	0.89509	0.89489	0.89501	128	0	4
2025.05.16	05:44:00	0.89500	0.89511	0.89497	0.89506	100	0	4
2025.05.16	05:46:00	0.89506	0.89506	0.89485	0.89495	84	0	2
2025.05.16	05:48:00	0.89493	0.89495	0.89483	0.89490	71	0	5
2025.05.16	05:50:00	0.89490	0.89492	0.89481	0.89486	66	0	3
2025.05.16	05:52:00	0.89486	0.89509	0.89483	0.89504	89	0	2
2025.05.16	05:54:00	0.89504	0.89507	0.89499	0.89505	75	0	3
2025.05.16	05:56:00	0.89505	0.89526	0.89500	0.89522	110	0	3
2025.05.16	05:58:00	0.89523	0.89525	0.89510	0.89514	122	0	3
2025.05.16	06:00:00	0.89513	0.89531	0.89502	0.89504	154	0	4
2025.05.16	06:02:00	0.89504	0.89507	0.89466	0.89474	187	0	3
2025.05.16	06:04:00	0.89474	0.89493	0.89470	0.89492	100	0	2
2025.05.16	06:06:00	0.89492	0.89509	0.89491	0.89494	97	0	3
2025.05.16	06:08:00	0.89494	0.89504	0.89475	0.89503	101	0	2
2025.05.16	06:10:00	0.89502	0.89511	0.89473	0.89473	103	0	3
2025.05.16	06:12:00	0.89473	0.89483	0.89469	0.89483	74	0	2
2025.05.16	06:14:00	0.89482	0.89487	0.89468	0.89484	124	0	4
2025.05.16	06:16:00	0.89482	0.89512	0.89481	0.89493	97	0	5
2025.05.16	06:18:00	0.89493	0.89500	0.89492	0.89498	64	0	5
2025.05.16	06:20:00	0.89498	0.89518	0.89496	0.89513	83	0	4
2025.05.16	06:22:00	0.89518	0.89532	0.89515	0.89530	128	0	4
2025.05.16	06:24:00	0.89530	0.89540	0.89526	0.89534	95	0	4
2025.05.16	06:26:00	0.89534	0.89542	0.89530	0.89540	77	0	5
2025.05.16	06:28:00	0.89540	0.89570	0.89539	0.89563	113	0	4
2025.05.16	06:30:00	0.89562	0.89581	0.89554	0.89577	83	0	5
2025.05.16	06:32:00	0.89577	0.89587	0.89569	0.89585	137	0	3
2025.05.16	06:34:00	0.89585	0.89592	0.89570	0.89571	92	0	4
2025.05.16	06:36:00	0.89570	0.89583	0.89555	0.89582	71	0	4
2025.05.16	06:38:00	0.89581	0.89581	0.89538	0.89555	114	0	5
2025.05.16	06:40:00	0.89554	0.89558	0.89546	0.89558	114	0	2
2025.05.16	06:42:00	0.89558	0.89558	0.89532	0.89538	94	0	3
2025.05.16	06:44:00	0.89538	0.89552	0.89533	0.89551	87	0	4
2025.05.16	06:46:00	0.89550	0.89552	0.89534	0.89537	80	0	5
2025.05.16	06:48:00	0.89537	0.89545	0.89533	0.89534	70	0	5
2025.05.16	06:50:00	0.89535	0.89547	0.89533	0.89538	85	0	4
2025.05.16	06:52:00	0.89539	0.89545	0.89533	0.89542	77	0	4
2025.05.16	06:54:00	0.89543	0.89567	0.89541	0.89567	111	0	4
2025.05.16	06:56:00	0.89566	0.89601	0.89564	0.89573	80	0	3
2025.05.16	06:58:00	0.89574	0.89574	0.89549	0.89553	99	0	3
2025.05.16	07:00:00	0.89552	0.89562	0.89545	0.89553	139	0	3
2025.05.16	07:02:00	0.89554	0.89559	0.89544	0.89551	102	0	3
2025.05.16	07:04:00	0.89551	0.89564	0.89545	0.89551	77	0	3
2025.05.16	07:06:00	0.89551	0.89564	0.89548	0.89562	64	0	3
2025.05.16	07:08:00	0.89560	0.89563	0.89547	0.89554	73	0	3
2025.05.16	07:10:00	0.89554	0.89559	0.89550	0.89559	82	0	3
2025.05.16	07:12:00	0.89565	0.89565	0.89553	0.89556	70	0	5
2025.05.16	07:14:00	0.89556	0.89573	0.89555	0.89558	76	0	5
2025.05.16	07:16:00	0.89559	0.89564	0.89554	0.89555	49	0	4
2025.05.16	07:18:00	0.89555	0.89564	0.89554	0.89560	40	0	4
2025.05.16	07:20:00	0.89560	0.89560	0.89549	0.89551	45	0	4
2025.05.16	07:22:00	0.89551	0.89593	0.89550	0.89592	106	0	3
2025.05.16	07:24:00	0.89593	0.89607	0.89584	0.89600	118	0	4
2025.05.16	07:26:00	0.89600	0.89600	0.89590	0.89594	99	0	2
2025.05.16	07:28:00	0.89595	0.89595	0.89580	0.89583	46	0	3
2025.05.16	07:30:00	0.89583	0.89592	0.89580	0.89586	74	0	5
2025.05.16	07:32:00	0.89587	0.89596	0.89584	0.89594	48	0	6
2025.05.16	07:34:00	0.89595	0.89597	0.89585	0.89591	93	0	4
2025.05.16	07:36:00	0.89590	0.89592	0.89577	0.89585	62	0	4
2025.05.16	07:38:00	0.89585	0.89589	0.89582	0.89588	42	0	5
2025.05.16	07:40:00	0.89588	0.89599	0.89587	0.89590	74	0	4
2025.05.16	07:42:00	0.89591	0.89597	0.89578	0.89593	68	0	5
2025.05.16	07:44:00	0.89590	0.89597	0.89586	0.89589	63	0	4
